stnId,stnNm,year,week,avg_temp,min_temp,max_temp,temp_range,total_rain,rain_days,cold_stress_days,warm_days,obs_days,cum_temp_ytd,avg_temp_clim,temp_anomaly
266,광양시,2023,3,0.7857142857142857,-6.4,8.0,2.6,0.0,0,0,0,7,12.357142857142858,3.9642857142857144,-3.178571428571429
266,광양시,2023,4,-1.6857142857142855,-12.9,11.5,11.7,0.0,0,0,0,7,10.67142857142857,0.7071428571428571,-2.3928571428571423
266,광양시,2023,5,3.457142857142857,-3.2,14.1,3.2,0.0,0,0,0,7,14.128571428571428,3.0,0.45714285714285685
266,광양시,2023,6,6.385714285714286,-1.3,15.9,3.1999999999999993,48.7,2,0,0,7,20.514285714285712,2.375,4.010714285714286
266,광양시,2023,7,6.414285714285714,0.8,11.9,3.3999999999999995,1.5,0,0,0,7,26.928571428571427,6.0285714285714285,0.38571428571428523
266,광양시,2023,8,4.571428571428571,-5.0,15.3,6.8,1.2,0,0,0,7,31.5,4.853571428571429,-0.2821428571428575
266,광양시,2023,9,7.771428571428571,-1.6,16.5,4.800000000000001,0.0,0,5,0,7,39.27142857142857,6.835714285714285,0.9357142857142859
266,광양시,2023,10,13.12857142857143,1.7,22.5,7.299999999999999,10.7,1,2,6,7,52.4,8.142857142857144,4.985714285714286
266,광양시,2023,11,10.642857142857142,0.0,22.1,9.0,0.0,0,3,5,7,63.042857142857144,9.435714285714287,1.2071428571428555
266,광양시,2023,12,13.314285714285715,5.1,19.0,5.1,43.6,4,0,7,7,76.35714285714286,10.685714285714285,2.62857142857143
266,광양시,2023,13,14.485714285714286,4.0,25.1,6.399999999999999,0.0,0,2,7,7,90.84285714285714,13.125,1.3607142857142858
266,광양시,2023,14,12.685714285714285,3.2,21.8,6.1,74.1,3,0,6,7,103.52857142857142,12.817857142857143,-0.132142857142858
266,광양시,2023,15,14.028571428571428,5.6,22.5,3.3000000000000007,7.6,1,0,7,7,117.55714285714285,14.35357142857143,-0.32500000000000107
266,광양시,2023,16,16.742857142857144,6.1,27.2,7.299999999999999,1.0,1,0,7,7,134.3,16.099999999999998,0.6428571428571459
266,광양시,2023,17,13.642857142857142,4.9,22.8,6.100000000000001,28.3,2,0,7,7,147.94285714285715,15.647619047619045,-2.004761904761903
266,광양시,2023,18,16.17142857142857,10.2,23.6,7.200000000000001,192.6,4,0,7,7,164.1142857142857,16.02857142857143,0.14285714285714235
266,광양시,2023,19,17.357142857142858,7.5,26.3,4.800000000000001,0.4,0,0,7,7,181.47142857142856,16.285714285714285,1.071428571428573
266,광양시,2023,20,19.97142857142857,13.2,29.8,4.0,34.1,1,0,7,7,201.44285714285715,19.16190476190476,0.8095238095238102
266,광양시,2023,21,19.7,12.4,25.4,4.400000000000002,11.6,1,0,7,7,221.14285714285714,20.166666666666668,-0.46666666666666856
266,광양시,2023,22,21.12857142857143,15.5,30.5,5.599999999999998,35.4,4,0,7,7,242.27142857142857,20.56190476190476,0.56666666666667
266,광양시,2023,23,22.271428571428572,16.3,28.7,2.400000000000002,0.4,0,0,7,7,264.54285714285714,21.409523809523808,0.8619047619047642
266,광양시,2023,24,23.900000000000002,17.4,31.9,4.099999999999998,2.0,1,0,7,7,288.4428571428571,24.114285714285714,-0.21428571428571175
266,광양시,2023,25,23.3,18.8,31.7,4.0,57.8,3,0,7,7,311.74285714285713,23.742857142857144,-0.44285714285714306
266,광양시,2023,26,23.957142857142856,18.9,30.5,2.900000000000002,208.5,5,0,7,7,335.7,24.047619047619047,-0.09047619047619193
266,광양시,2023,27,24.557142857142857,20.5,31.9,3.8999999999999986,121.3,5,0,7,7,360.25714285714287,26.642857142857142,-2.0857142857142854
266,광양시,2023,28,25.12857142857143,21.5,30.0,3.0,264.6,5,0,7,7,385.3857142857143,26.23809523809524,-1.109523809523811
266,광양시,2023,29,25.614285714285717,22.2,31.0,2.6000000000000014,276.6,4,0,7,7,411.0,25.504761904761907,0.10952380952381091
266,광양시,2023,30,27.52857142857143,23.7,34.7,3.5,80.80000000000001,2,0,7,7,438.5285714285714,28.147619047619045,-0.6190476190476168
266,광양시,2023,31,29.785714285714285,23.6,36.1,1.6000000000000014,0.0,0,0,7,7,468.31428571428575,29.604761904761904,0.1809523809523803
266,광양시,2023,32,27.614285714285717,22.2,35.8,6.699999999999999,113.89999999999999,2,0,7,7,495.92857142857144,27.895238095238096,-0.2809523809523782
266,광양시,2023,33,27.857142857142858,24.1,33.8,2.1999999999999993,4.5,1,0,7,7,523.7857142857143,27.885714285714286,-0.02857142857142847
266,광양시,2023,34,27.2,21.7,32.9,3.1999999999999993,57.099999999999994,2,0,7,7,550.9857142857143,28.257142857142856,-1.057142857142857
266,광양시,2023,35,25.814285714285713,22.4,31.1,2.5,217.1,6,0,7,7,576.8,27.599999999999998,-1.7857142857142847
266,광양시,2023,36,25.74285714285714,19.7,32.2,3.0,0.0,0,0,7,7,602.5428571428572,26.78095238095238,-1.0380952380952415
266,광양시,2023,37,24.599999999999998,21.6,31.5,2.799999999999997,115.9,5,0,7,7,627.1428571428571,26.047619047619047,-1.4476190476190496
266,광양시,2023,38,23.057142857142857,18.0,31.3,4.700000000000003,40.1,2,0,7,7,650.2,24.923809523809524,-1.8666666666666671
266,광양시,2023,39,22.485714285714288,16.1,29.5,3.799999999999997,4.1,1,0,7,7,672.6857142857143,23.14761904761905,-0.6619047619047613
266,광양시,2023,40,18.071428571428573,11.9,27.2,3.6000000000000014,2.6,1,0,7,7,690.7571428571429,19.604761904761904,-1.5333333333333314
266,광양시,2023,41,18.514285714285712,12.4,25.3,3.0,0.0,0,0,7,7,709.2714285714286,20.06190476190476,-1.5476190476190474
266,광양시,2023,42,15.528571428571428,7.1,25.1,5.699999999999999,0.7,0,0,7,7,724.8,18.674603174603174,-3.1460317460317455
266,광양시,2023,43,16.47142857142857,10.0,26.1,2.8000000000000007,0.0,0,0,7,7,741.2714285714286,16.947619047619046,-0.4761904761904745
266,광양시,2023,44,18.52857142857143,10.8,27.3,3.6999999999999993,12.2,2,0,7,7,759.8,15.90952380952381,2.6190476190476186
266,광양시,2023,45,11.471428571428572,1.4,22.1,10.799999999999999,42.9,3,0,5,7,771.2714285714286,13.004761904761905,-1.5333333333333332
266,광양시,2023,46,7.185714285714285,-0.9,16.8,5.9,16.4,3,0,0,7,778.4571428571429,11.442857142857143,-4.257142857142858
266,광양시,2023,47,8.371428571428572,-2.5,20.0,11.700000000000001,0.0,0,0,3,7,786.8285714285714,8.723809523809523,-0.35238095238095113
266,광양시,2023,48,4.985714285714286,-2.5,15.7,7.3,0.1,0,0,0,7,791.8142857142857,7.357142857142858,-2.371428571428572
266,광양시,2023,49,10.471428571428572,-0.1,20.4,9.4,0.1,0,0,3,7,802.2857142857143,7.3,3.1714285714285717
266,광양시,2023,50,7.914285714285714,-5.7,16.2,16.3,58.199999999999996,4,0,5,7,810.2,6.161904761904761,1.7523809523809524
266,광양시,2023,51,-1.6571428571428573,-8.5,6.7,7.2,0.1,0,0,0,7,808.5428571428572,2.619047619047619,-4.276190476190476
266,광양시,2023,52,4.475,-2.6,13.4,5.2,1.1,1,0,0,8,813.0178571428571,3.601190476190476,0.8738095238095238
266,광양시,2024,1,5.333333333333333,-2.6,14.8,6.5,0.1,0,0,0,9,5.333333333333333,3.005208333333333,2.328125
266,광양시,2024,2,3.6714285714285713,-6.3,14.7,8.1,5.3,1,0,0,7,9.004761904761905,3.35,0.3214285714285712
266,광양시,2024,3,6.014285714285714,-2.8,12.4,7.2,22.6,2,0,0,7,15.019047619047619,3.9642857142857144,2.05
266,광양시,2024,4,-0.5714285714285714,-7.3,10.5,8.3,0.0,0,0,0,7,14.447619047619048,0.7071428571428571,-1.2785714285714285
266,광양시,2024,5,6.157142857142857,-2.9,14.8,6.3999999999999995,19.299999999999997,4,0,0,7,20.604761904761904,3.0,3.1571428571428566
266,광양시,2024,6,3.9714285714285715,-2.2,11.7,2.0999999999999996,10.5,2,0,0,7,24.576190476190476,2.375,1.5964285714285715
266,광양시,2024,7,8.4,-1.5,17.9,8.3,71.3,2,0,2,7,32.976190476190474,6.0285714285714285,2.371428571428572
266,광양시,2024,8,6.614285714285714,1.8,18.6,11.0,92.10000000000001,5,0,1,7,39.59047619047619,4.853571428571429,1.7607142857142852
266,광양시,2024,9,4.5,-5.7,12.7,7.3,8.4,1,3,0,7,44.09047619047619,6.835714285714285,-2.3357142857142854
266,광양시,2024,10,6.7,-1.1,13.8,5.0,3.8,1,5,0,7,50.79047619047619,8.142857142857144,-1.442857142857144
266,광양시,2024,11,10.357142857142858,2.3,21.2,5.1000000000000005,0.1,0,5,4,7,61.147619047619045,9.435714285714287,0.9214285714285708
266,광양시,2024,12,10.042857142857143,-0.2,22.6,10.8,9.8,2,5,4,7,71.19047619047619,10.685714285714285,-0.6428571428571423
266,광양시,2024,13,11.385714285714286,5.3,19.2,4.1,72.5,3,0,6,7,82.57619047619048,13.125,-1.7392857142857139
266,광양시,2024,14,14.485714285714286,8.1,23.9,3.5999999999999996,57.50000000000001,3,0,7,7,97.06190476190477,12.817857142857143,1.6678571428571427
266,광양시,2024,15,16.1,8.2,26.5,5.100000000000001,0.0,0,0,7,7,113.16190476190476,14.35357142857143,1.7464285714285719
266,광양시,2024,16,16.4,9.3,26.4,4.100000000000001,73.1,2,0,7,7,129.56190476190477,16.099999999999998,0.3000000000000007
266,광양시,2024,17,17.04285714285714,8.6,27.9,5.0,4.6,2,0,7,7,146.60476190476192,15.647619047619045,1.3952380952380956
266,광양시,2024,18,16.642857142857142,8.5,25.9,5.199999999999999,249.1,3,0,7,7,163.24761904761905,16.02857142857143,0.6142857142857139
266,광양시,2024,19,17.04285714285714,9.6,24.8,5.000000000000002,48.6,4,0,7,7,180.2904761904762,16.285714285714285,0.7571428571428562
266,광양시,2024,20,18.62857142857143,8.6,29.7,5.699999999999999,0.2,0,0,7,7,198.9190476190476,19.16190476190476,-0.5333333333333314
266,광양시,2024,21,21.485714285714288,15.0,31.3,3.8999999999999986,19.4,1,0,7,7,220.4047619047619,20.166666666666668,1.3190476190476197
266,광양시,2024,22,20.685714285714287,14.5,28.3,1.5,1.6,1,0,7,7,241.09047619047618,20.56190476190476,0.12380952380952692
266,광양시,2024,23,20.542857142857144,14.5,27.9,3.6999999999999993,40.9,1,0,7,7,261.6333333333333,21.409523809523808,-0.8666666666666636
266,광양시,2024,24,25.314285714285713,19.3,33.2,1.5,0.0,0,0,7,7,286.94761904761907,24.114285714285714,1.1999999999999993
266,광양시,2024,25,24.2,17.8,34.5,4.599999999999998,39.3,1,0,7,7,311.14761904761906,23.742857142857144,0.4571428571428555
266,광양시,2024,26,23.157142857142855,17.4,30.3,4.5,183.0,3,0,7,7,334.3047619047619,24.047619047619047,-0.8904761904761926
